h=1; v /net1; envlp re(V) X,h=1; v /net1; envlp re(V) Y
0,0.1436356078795552
1.25e-08,0.02213334641505031
2.5e-08,-0.2528243321016068
3.75e-08,-0.5892153313893705
5e-08,-0.8312079001715968
6.25e-08,-0.8883476386040884
7.5e-08,-0.7603893796450416
8.75e-08,-0.4710715574783002
1e-07,-0.08455390927893384
1.125e-07,0.3133200687373181
1.25e-07,0.6399053925894296
1.375e-07,0.839098167545172
1.5e-07,0.8959226606170941
1.625e-07,0.8379257905346597
1.75e-07,0.7231525883263118
1.875e-07,0.6187673624405865
2e-07,0.5773702076236003
2.125e-07,0.6187673624405862
2.25e-07,0.7231525883263118
2.375e-07,0.8379257905346602
2.5e-07,0.8959226606170941
2.625e-07,0.8390981675451719
2.75e-07,0.6399053925894296
2.875e-07,0.313320068737318
3e-07,-0.08455390927893384
3.125e-07,-0.4710715574783002
3.25e-07,-0.7603893796450419
3.375000000000001e-07,-0.8883476386040884
3.5e-07,-0.8312079001715967
3.625e-07,-0.612528301728179
3.75e-07,-0.2962021296944036
3.875e-07,0.0320150598422823
4e-07,0.2886851038118001
4.125e-07,0.4151950393702048
4.25e-07,0.3919940140536437
4.375e-07,0.2407731921112809
4.5e-07,0.01468312204013167
4.625e-07,-0.2196482759632589
4.75e-07,-0.4022435397246706
4.875e-07,-0.4957580005427626
5e-07,-0.4928162983446662
5.125e-07,-0.4133315457267275
5.249999999999999e-07,-0.293797251351182
5.374999999999999e-07,-0.173002278575312
5.5e-07,-0.07939788248562929
5.625e-07,-0.0242706553202744
5.75e-07,-0.002419694554087018
5.875e-07,0.0008635733573991161
6e-07,7.092527644316106e-17
6.125e-07,0.0008635733573991695
6.249999999999999e-07,-0.002419694554087071
6.374999999999999e-07,-0.02427065532027434
6.499999999999999e-07,-0.07939788248562922
6.625e-07,-0.1730022785753121
6.75e-07,-0.293797251351182
6.875e-07,-0.4133315457267279
7e-07,-0.4928162983446662
7.125e-07,-0.4957580005427628
7.249999999999999e-07,-0.4022435397246706
7.374999999999999e-07,-0.2196482759632591
7.5e-07,0.01468312204013167
7.625e-07,0.240773192111281
7.75e-07,0.3919940140536437
7.875e-07,0.4151950393702046
8e-07,0.2886851038118001
8.124999999999999e-07,0.0320150598422823
8.249999999999999e-07,-0.2962021296944036
8.374999999999999e-07,-0.6125283017281791
8.499999999999999e-07,-0.8312079001715967
8.625e-07,-0.8883476386040884
8.75e-07,-0.7603893796450416
8.875e-07,-0.4710715574783002
9e-07,-0.08455390927893384
9.124999999999999e-07,0.3133200687373181
9.249999999999999e-07,0.6399053925894296
9.374999999999999e-07,0.839098167545172
9.5e-07,0.895922660617094
9.624999999999999e-07,0.8379257905346597
9.75e-07,0.7231525883263118
9.874999999999999e-07,0.6187673624405865
1e-06,0.5773702076236003
1.0125e-06,0.6187673624405861
1.025e-06,0.7231525883263118
1.0375e-06,0.8379257905346602
1.05e-06,0.895922660617094
1.0625e-06,0.839098167545172
1.075e-06,0.6399053925894296
1.0875e-06,0.313320068737318
1.1e-06,-0.08455390927893384
1.1125e-06,-0.4710715574783002
1.125e-06,-0.7603893796450419
1.1375e-06,-0.8883476386040884
1.15e-06,-0.8312079001715968
1.1625e-06,-0.612528301728179
1.175e-06,-0.2962021296944036
1.1875e-06,0.03201505984228231
1.2e-06,0.2886851038118001
1.2125e-06,0.4151950393702049
1.225e-06,0.3919940140536437
1.2375e-06,0.2407731921112809
1.25e-06,0.01468312204013167
1.2625e-06,-0.2196482759632589
1.275e-06,-0.4022435397246706
1.2875e-06,-0.4957580005427626
1.3e-06,-0.4928162983446662
1.3125e-06,-0.4133315457267276
1.325e-06,-0.293797251351182
1.3375e-06,-0.173002278575312
1.35e-06,-0.07939788248562928
1.3625e-06,-0.0242706553202744
1.375e-06,-0.002419694554087018
1.3875e-06,0.0008635733573991161
1.4e-06,7.092527644316106e-17
1.4125e-06,0.0008635733573991696
1.425e-06,-0.002419694554087071
1.4375e-06,-0.02427065532027434
1.45e-06,-0.07939788248562922
1.4625e-06,-0.1730022785753121
1.475e-06,-0.293797251351182
1.4875e-06,-0.4133315457267278
1.5e-06,-0.4928162983446662
1.5125e-06,-0.4957580005427628
1.525e-06,-0.4022435397246706
1.5375e-06,-0.2196482759632591
1.55e-06,0.01468312204013167
1.5625e-06,0.240773192111281
1.575e-06,0.3919940140536438
1.5875e-06,0.4151950393702046
1.6e-06,0.2886851038118001
1.6125e-06,0.03201505984228231
1.625e-06,-0.2962021296944036
1.6375e-06,-0.6125283017281791
1.65e-06,-0.8312079001715968
1.6625e-06,-0.8883476386040884
1.675e-06,-0.7603893796450417
1.6875e-06,-0.4710715574783002
1.7e-06,-0.08455390927893386
1.7125e-06,0.3133200687373182
1.725e-06,0.6399053925894296
1.7375e-06,0.839098167545172
1.75e-06,0.895922660617094
1.7625e-06,0.8379257905346598
1.775e-06,0.7231525883263118
1.7875e-06,0.6187673624405865
1.8e-06,0.5773702076236003
1.8125e-06,0.6187673624405861
1.825e-06,0.7231525883263118
1.8375e-06,0.8379257905346602
1.85e-06,0.895922660617094
1.8625e-06,0.839098167545172
1.875e-06,0.6399053925894296
1.8875e-06,0.313320068737318
1.9e-06,-0.08455390927893386
1.9125e-06,-0.4710715574783
1.925e-06,-0.7603893796450419
1.9375e-06,-0.8883476386040883
1.95e-06,-0.8312079001715967
1.9625e-06,-0.6125283017281791
1.975e-06,-0.2962021296944036
1.9875e-06,0.0320150598422823
2e-06,0.2886851038118001
2.0125e-06,0.4151950393702048
2.025e-06,0.3919940140536437
2.0375e-06,0.2407731921112809
2.05e-06,0.01468312204013167
2.0625e-06,-0.2196482759632589
2.075e-06,-0.4022435397246706
2.0875e-06,-0.4957580005427626
2.1e-06,-0.4928162983446662
2.1125e-06,-0.4133315457267276
2.125e-06,-0.293797251351182
2.1375e-06,-0.173002278575312
2.15e-06,-0.07939788248562929
2.1625e-06,-0.0242706553202744
2.175e-06,-0.002419694554087018
2.1875e-06,0.0008635733573991161
2.2e-06,7.092527644316106e-17
2.2125e-06,0.0008635733573991696
2.225e-06,-0.002419694554087071
2.2375e-06,-0.02427065532027434
2.25e-06,-0.07939788248562922
2.2625e-06,-0.1730022785753121
2.275e-06,-0.293797251351182
2.2875e-06,-0.4133315457267278
2.3e-06,-0.4928162983446662
2.3125e-06,-0.4957580005427628
2.325e-06,-0.4022435397246706
2.3375e-06,-0.2196482759632591
2.35e-06,0.01468312204013167
2.3625e-06,0.240773192111281
2.375e-06,0.3919940140536437
2.3875e-06,0.4151950393702046
2.4e-06,0.2886851038118001
2.4125e-06,0.03201505984228231
2.425e-06,-0.2962021296944036
2.4375e-06,-0.6125283017281791
2.45e-06,-0.8312079001715965
2.4625e-06,-0.8883476386040884
2.475e-06,-0.7603893796450416
2.4875e-06,-0.4710715574783002
2.5e-06,-0.08455390927893384
2.5125e-06,0.3133200687373182
2.525e-06,0.6399053925894296
2.5375e-06,0.8390981675451719
2.55e-06,0.8959226606170941
2.5625e-06,0.8379257905346597
2.575e-06,0.7231525883263118
2.5875e-06,0.6187673624405865
2.6e-06,0.5773702076236003
2.6125e-06,0.6187673624405861
2.625e-06,0.7231525883263118
2.6375e-06,0.8379257905346602
2.65e-06,0.895922660617094
2.6625e-06,0.8390981675451719
2.675e-06,0.6399053925894296
2.6875e-06,0.313320068737318
2.7e-06,-0.08455390927893386
2.7125e-06,-0.4710715574783
2.725e-06,-0.7603893796450419
2.7375e-06,-0.8883476386040884
2.75e-06,-0.8312079001715965
2.7625e-06,-0.612528301728179
2.775e-06,-0.2962021296944036
2.7875e-06,0.0320150598422823
2.8e-06,0.2886851038118001
2.8125e-06,0.4151950393702048
2.825e-06,0.3919940140536437
2.8375e-06,0.2407731921112808
2.85e-06,0.01468312204013167
2.8625e-06,-0.2196482759632589
2.875e-06,-0.4022435397246706
2.8875e-06,-0.4957580005427626
2.9e-06,-0.4928162983446662
2.9125e-06,-0.4133315457267276
2.925e-06,-0.293797251351182
2.9375e-06,-0.173002278575312
2.95e-06,-0.07939788248562929
2.9625e-06,-0.0242706553202744
2.975e-06,-0.002419694554087018
2.9875e-06,0.0008635733573991161
3e-06,7.092527644316105e-17
3.0125e-06,0.0008635733573991695
3.025e-06,-0.002419694554087071
3.0375e-06,-0.02427065532027434
3.05e-06,-0.07939788248562922
3.0625e-06,-0.1730022785753121
3.075e-06,-0.293797251351182
3.0875e-06,-0.4133315457267279
3.1e-06,-0.4928162983446662
3.1125e-06,-0.4957580005427628
3.125e-06,-0.4022435397246706
3.1375e-06,-0.2196482759632591
3.15e-06,0.01468312204013167
3.1625e-06,0.240773192111281
3.175e-06,0.3919940140536437
3.1875e-06,0.4151950393702046
3.2e-06,0.2886851038118001
3.2125e-06,0.03201505984228231
3.225e-06,-0.2962021296944036
3.2375e-06,-0.6125283017281791
3.25e-06,-0.8312079001715965
3.2625e-06,-0.8883476386040884
3.275e-06,-0.7603893796450416
3.2875e-06,-0.4710715574783002
3.3e-06,-0.08455390927893384
3.3125e-06,0.3133200687373181
3.325e-06,0.6399053925894296
3.3375e-06,0.8390981675451719
3.35e-06,0.8959226606170941
3.3625e-06,0.8379257905346597
3.375e-06,0.7231525883263118
3.3875e-06,0.6187673624405865
3.4e-06,0.5773702076236003
3.4125e-06,0.6187673624405861
3.425e-06,0.7231525883263118
3.4375e-06,0.8379257905346602
3.45e-06,0.8959226606170941
3.4625e-06,0.839098167545172
3.475e-06,0.6399053925894296
3.4875e-06,0.313320068737318
3.5e-06,-0.08455390927893384
3.5125e-06,-0.4710715574783002
3.525e-06,-0.7603893796450419
3.5375e-06,-0.8883476386040884
3.55e-06,-0.8312079001715967
3.5625e-06,-0.612528301728179
3.575e-06,-0.2962021296944036
3.5875e-06,0.03201505984228231
3.6e-06,0.2886851038118001
3.6125e-06,0.4151950393702048
3.625e-06,0.3919940140536437
3.6375e-06,0.2407731921112809
